MP_CODE,MP_NAME,Population
283142,KuMaqashu,717
283143,Dongweni,675
283144,Maqashu,371
283145,KuLiweni,778
283146,Maqohqweni,341
283147,KwaGcina A,168
283148,Mayireni A,171
283149,Bowden,479
283150,Nonesi,125
283151,Kwa-Blangwe,208
283152,eLupindweni A,146
283153,Kudubeni,655
283154,Dlamini,1016
283155,KuKavara,674
284053,eMkalweni,317
284054,Ndlunkulu B,168
284055,Elabafazi,196
284056,KuHlaba A,290
284057,KuMchayi,220
284058,eMachibini,258
284059,KwaMgqondo,219
284060,Caba,85
284061,Mdeni A,87
284062,Ngxangxasi A,380
284063,Sigidi,512
284064,KuQunduvane,443
284065,KuNogqogqowana,239
284066,Sigangeni A,444
284067,Amamvala,655
284068,eMamvulaneni,310
284069,Mazimeni,172
284070,Komkulu A,346
284071,Bula,391
284072,Mboleni B,223
284073,Ngapezulu,204
199016,Bellville,112507
199017,Durbanville,54286
199036,Eerste Rivier,39237
199037,Macassar,33225
199038,Khayelitsha,391749
199039,Mitchells Plain,310485
199040,Grassy Park,82199
199041,Cape Town,433688
199042,Hout Bay,17900
199043,Imizamo Yethu,15538
199044,Helderberg Nature Reserve,4
199045,Somerset West,55166
199046,Nomzamo,60528
199047,Strand,55558
199048,City of Cape Town ,1560
199049,Hottentots Holland Nature Reserve,-
199050,Muizenberg,36857
199051,Noordhoek,31980
199052,Fish Hoek,11890
199053,Simon's Town,6569
199054,Kommetjie,16911
199055,Gordons Bay,16776
199056,Scarborough,1075
199057,Castle Rock,5595
199058,Smitswinkelbaai,4
260001,South Down,505
260002,Esixekweni A,374
260003,Mngqalasini,418
260004,Tukayi A,838
260005,Esixekweni B,555
260006,Ngingiqini,484
260007,Nkqonkqweni A,1546
260008,Mtshonyaneni,470
260009,KwaNdayi,661
260010,Buffalo City ,10359
260011,Mdange,460
260012,Tukayi B,451
260013,eDrayini,534
260014,Tyusha,1289
260015,Kwelerana,325
260016,Macleantown,580
260017,Pirie Mission,356
260018,eMangweni,311
260019,Nkosiyane,189
